,,,"Toronto, City [Census subdivision], Ontario",,,,,,"Toronto, Census division [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Kurdish",,    1650,,     930,,     720,,    1650,,     930,,     715,
"Mother tongue","              Pashto",,    4355,,    2285,,    2070,,    4355,,    2285,,    2070,
"Mother tongue","              Persian (Farsi)",,   49185,,   24680,,   24510,,   49190,,   24680,,   24510,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,     945,,     520,,     425,,     940,,     520,,     425,
"Mother tongue","          Italic (Romance) languages",,  207445,,   97980,,  109465,,  207440,,   97980,,  109460,
"Mother tongue","            Catalan",,     125,,      70,,      55,,     130,,      70,,      55,
"Mother tongue","            Italian",,   62640,,   29050,,   33590,,   62635,,   29050,,   33590,
"Mother tongue","            Portuguese",,   59355,,   28540,,   30820,,   59360,,   28535,,   30820,
"Mother tongue","            Romanian",,   12335,,    5630,,    6705,,   12335,,    5630,,    6705,
"Mother tongue","            Spanish",,   72850,,   34635,,   38215,,   72855,,   34630,,   38220,
"Mother tongue","            Italic (Romance) languages; n.i.e.",,     135,,      60,,      75,,     135,,      60,,      75,
"Mother tongue","        Japanese",,    7015,,    2405,,    4610,,    7015,,    2405,,    4610,
"Mother tongue","        Kartvelian languages",,     870,,     465,,     400,,     870,,     465,,     405,
"Mother tongue","          Georgian",,     870,,     465,,     400,,     870,,     465,,     405,
"Mother tongue","        Korean",,   33665,,   15155,,   18505,,   33665,,   15160,,   18510,
"Mother tongue","        Mongolic languages",,     290,,     130,,     165,,     290,,     130,,     165,
"Mother tongue","          Mongolian",,     295,,     130,,     160,,     295,,     130,,     160,
"Mother tongue","        Niger-Congo languages",,   13780,,    6455,,    7325,,   13780,,    6460,,    7325,
"Mother tongue","          Akan (Twi)",,    4340,,    1970,,    2375,,    4345,,    1970,,    2370,
"Mother tongue","          Bamanankan",,      45,,      25,,      20,,      45,,      20,,      25,
"Mother tongue","          Edo",,     670,,     260,,     410,,     675,,     260,,     415,
"Mother tongue","          Ewe",,     175,,      90,,      80,,     175,,      90,,      80,
"Mother tongue","          Fulah (Pular; Pulaar; Fulfulde)",,     165,,      85,,      75,,     165,,      90,,      75,
"Mother tongue","          Ga",,     200,,      90,,     115,,     200,,      85,,     115,
"Mother tongue","          Ganda",,     375,,     180,,     200,,     375,,     185,,     195,
"Mother tongue","          Igbo",,     740,,     385,,     355,,     745,,     385,,     360,
"Mother tongue","          Lingala",,     285,,     135,,     150,,     285,,     135,,     150,
"Mother tongue","          Rundi (Kirundi)",,     270,,     130,,     135,,     265,,     135,,     135,
"Mother tongue","          Kinyarwanda (Rwanda)",,     285,,     135,,     150,,     290,,     135,,     150,
"Mother tongue","          Shona",,     395,,     185,,     205,,     390,,     190,,     205,
"Mother tongue","          Swahili",,    2230,,    1050,,    1185,,    2230,,    1045,,    1180,
"Mother tongue","          Wolof",,     115,,      65,,      50,,     120,,      65,,      50,
"Mother tongue","          Yoruba",,    1580,,     820,,     760,,    1585,,     820,,     760,
"Mother tongue","          Niger-Congo languages; n.i.e.",,    1905,,     845,,    1055,,    1900,,     845,,    1060,
"Mother tongue","        Nilo-Saharan languages",,     235,,     125,,     105,,     235,,     125,,     110,
"Mother tongue","          Dinka",,      40,,      20,,      15,,      35,,      25,,      15,
"Mother tongue","          Nilo-Saharan languages; n.i.e.",,     200,,     105,,      90,,     200,,     110,,      90,
"Mother tongue","        Sign languages",,     565,,     320,,     245,,     565,,     320,,     250,
"Mother tongue","          American Sign Language",,     210,,     120,,      90,,     210,,     120,,      90,
"Mother tongue","          Quebec Sign Language",,       5,,       0,,       5,,       0,,       0,,       5,
"Mother tongue","          Sign languages; n.i.e",,     350,,     200,,     150,,     355,,     200,,     150,
"Mother tongue","        Sino-Tibetan languages",,  250960,,  114630,,  136330,,  250960,,  114630,,  136325,
"Mother tongue","          Chinese languages",,  245285,,  111855,,  133430,,  245285,,  111860,,  133430,
"Mother tongue","            Cantonese",,  114670,,   52085,,   62585,,  114670,,   52085,,   62585,
"Mother tongue","            Hakka",,    2855,,    1225,,    1635,,    2855,,    1220,,    1635,
"Mother tongue","            Mandarin",,  111405,,   51120,,   60280,,  111405,,   51120,,   60280,
"Mother tongue","            Min Dong",,     450,,     220,,     225,,     445,,     220,,     225,
"Mother tongue","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,    6120,,    2820,,    3300,,    6120,,    2820,,    3295,
"Mother tongue","            Wu (Shanghainese)",,    2665,,    1200,,    1470,,    2665,,    1200,,    1465,
"Mother tongue","            Chinese; n.o.s.",,    7015,,    3135,,    3880,,    7015,,    3135,,    3880,
"Mother tongue","            Chinese languages; n.i.e.",,     100,,      50,,      55,,     100,,      50,,      55,
"Mother tongue","          Tibeto-Burman languages",,    5670,,    2775,,    2895,,    5670,,    2775,,    2900,
"Mother tongue","            Burmese",,     610,,     270,,     335,,     605,,     275,,     335,
"Mother tongue","            Karenic languages",,     255,,     125,,     135,,     260,,     120,,     135,
"Mother tongue","            Tibetan",,    4590,,    2275,,    2320,,    4595,,    2270,,    2320,
"Mother tongue","            Tibeto-Burman languages; n.i.e.",,     215,,     110,,     105,,     215,,     110,,     105,
"Mother tongue","        Tai-Kadai languages",,    1720,,     690,,    1030,,    1720,,     690,,    1030,
"Mother tongue","          Lao",,     710,,     365,,     340,,     705,,     365,,     345,
"Mother tongue","          Thai",,    1005,,     320,,     685,,    1005,,     325,,     685,
"Mother tongue","          Tai-Kadai languages; n.i.e",,      10,,       0,,       5,,      10,,       0,,       5,
"Mother tongue","        Turkic languages",,   10680,,    5610,,    5065,,   10680,,    5610,,    5065,
"Mother tongue","          Azerbaijani",,     915,,     490,,     420,,     915,,     490,,     425,
"Mother tongue","          Turkish",,    8835,,    4670,,    4165,,    8835,,    4670,,    4165,
"Mother tongue","          Uyghur",,     240,,     120,,     125,,     240,,     115,,     120,
"Mother tongue","          Uzbek",,     440,,     225,,     210,,     440,,     225,,     210,
"Mother tongue","          Turkic languages; n.i.e.",,     250,,     110,,     140,,     250,,     110,,     140,
"Mother tongue","        Uralic languages",,   15145,,    6655,,    8485,,   15145,,    6655,,    8490,
"Mother tongue","          Estonian",,    1940,,     770,,    1170,,    1945,,     775,,    1170,
"Mother tongue","          Finnish",,    1315,,     500,,     825,,    1315,,     495,,     825,
"Mother tongue","          Hungarian",,   11885,,    5385,,    6500,,   11885,,    5385,,    6500,
"Mother tongue","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Other languages; n.i.e.",,     585,,     310,,     280,,     585,,     310,,     275,
"Mother tongue","  Multiple responses",,  106190,,   50685,,   55500,,  106190,,   50685,,   55500,
"Mother tongue","    English and French",,    7550,,    3520,,    4030,,    7550,,    3525,,    4025,
"Mother tongue","    English and non-official language",,   92620,,   44395,,   48230,,   92620,,   44390,,   48230,
"Mother tongue","    French and non-official language",,    3300,,    1515,,    1785,,    3300,,    1515,,    1785,
"Mother tongue","    English; French and non-official language",,    2715,,    1255,,    1460,,    2715,,    1260,,    1460,
"Language spoken most often at home","Total - Language spoken most often at home for the total population excluding institutional residents - 100% data",19, 2704415,, 1301900,, 1402510,, 2704420,, 1301900,, 1402515,
"Language spoken most often at home","  Single responses",, 2458470,, 1185800,, 1272670,, 2458470,, 1185800,, 1272665,
"Language spoken most often at home","    Official languages",, 1756685,,  858655,,  898030,, 1756685,,  858655,,  898030,
"Language spoken most often at home","      English",, 1739625,,  850750,,  888875,, 1739620,,  850745,,  888875,
"Language spoken most often at home","      French",,   17065,,    7910,,    9155,,   17060,,    7915,,    9155,
"Language spoken most often at home","    Non-official languages",,  701785,,  327145,,  374640,,  701780,,  327145,,  374640,
"Language spoken most often at home","      Aboriginal languages",,     110,,      55,,      55,,     110,,      55,,      55,
"Language spoken most often at home","        Algonquian languages",,      55,,      30,,      25,,      55,,      30,,      20,
"Language spoken most often at home","          Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Cree-Montagnais languages",,      15,,      10,,      10,,      15,,       5,,      10,
"Language spoken most often at home","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Montagnais (Innu)",,       5,,       5,,       0,,       0,,       5,,       0,
"Language spoken most often at home","            Moose Cree",,       0,,       0,,       0,,       0,,       5,,       0,
"Language spoken most often at home","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Northern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Plains Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Swampy Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","            Woods Cree",,       5,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","            Cree; n.o.s.",,      10,,       0,,      10,,      10,,       0,,      10,
"Language spoken most often at home","          Eastern Algonquian languages",,       5,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Mi'kmaq",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Ojibway-Potawatomi languages",,      35,,      20,,      15,,      35,,      20,,      15,
"Language spoken most often at home","            Algonquin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Ojibway",,      35,,      20,,      10,,      30,,      20,,      15,
"Language spoken most often at home","            Oji-Cree",,       0,,       0,,       5,,       0,,       0,,       5,
"Language spoken most often at home","            Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       5,,       0,
"Language spoken most often at home","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Athabaskan languages",,       5,,       0,,       0,,       5,,       0,,       5,
"Language spoken most often at home","          Northern Athabaskan languages",,       5,,       0,,       0,,       5,,       0,,       5,
"Language spoken most often at home","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
